product_id,product_name,brand,manufacturer,category,sub_category,pack_size,uom,mrp,cost_price,gst_pct,is_private_label,shelf_life_days
239,Haldirams Namkeen 1kg,Haldirams,Haldirams,Snacks,Namkeen,1kg,kg/ml,79,58,5,1,618
240,Saffola Sunflower Oil 100g,Saffola,Marico,Edible Oil,Sunflower Oil,100g,kg/ml,127,98,18,0,611
241,Real Energy Drink 200ml,Real,Dabur,Beverages,Energy Drink,200ml,kg/ml,179,130,5,1,256
242,Pepsi Soft Drink 1L,Pepsi,PepsiCo,Beverages,Soft Drink,1L,kg/ml,277,181,18,0,553
243,Coca-Cola Energy Drink 100g,Coca-Cola,Coca-Cola India,Beverages,Energy Drink,100g,kg/ml,299,187,18,1,397
244,Nandini Curd 1kg,Nandini,KMF,Dairy,Curd,1kg,kg/ml,251,182,18,0,532
245,Parle Marie Biscuit 200ml,Parle,Parle Products,Biscuits,Marie Biscuit,200ml,kg/ml,215,148,12,1,696
246,Bingo Extruded Snacks 500ml,Bingo,ITC,Snacks,Extruded Snacks,500ml,kg/ml,249,178,18,1,560
247,Dhara Groundnut Oil 5kg,Dhara,GCMMF,Edible Oil,Groundnut Oil,5kg,kg/ml,149,119,12,1,388
248,Sunfeast Marie Biscuit 1kg,Sunfeast,ITC,Biscuits,Marie Biscuit,1kg,kg/ml,283,202,12,1,632
249,Real Soft Drink 1L,Real,Dabur,Beverages,Soft Drink,1L,kg/ml,330,233,12,1,234
250,Vim Detergent Powder 200ml,Vim,HUL,Home Care,Detergent Powder,200ml,kg/ml,134,84,5,1,427
251,Bingo Chips 2kg,Bingo,ITC,Snacks,Chips,2kg,kg/ml,103,74,12,1,340
252,Pepsi Juice 1kg,Pepsi,PepsiCo,Beverages,Juice,1kg,kg/ml,170,110,12,0,520
253,Fortune Groundnut Oil 1L,Fortune,Adani Wilmar,Edible Oil,Groundnut Oil,1L,kg/ml,342,232,18,1,375
254,Dhara Groundnut Oil 500g,Dhara,GCMMF,Edible Oil,Groundnut Oil,500g,kg/ml,162,129,5,1,669
255,Bingo Extruded Snacks 5kg,Bingo,ITC,Snacks,Extruded Snacks,5kg,kg/ml,101,73,12,1,641
256,Nandini Butter 1kg,Nandini,KMF,Dairy,Butter,1kg,kg/ml,33,20,5,0,309
257,Britannia Marie Biscuit 1kg,Britannia,Britannia Industries,Biscuits,Marie Biscuit,1kg,kg/ml,275,216,12,0,432
258,Nandini Milk 100g,Nandini,KMF,Dairy,Milk,100g,kg/ml,129,100,12,0,615
259,Parle Cream Biscuit 5kg,Parle,Parle Products,Biscuits,Cream Biscuit,5kg,kg/ml,44,32,12,1,716
260,Lux Soap 1kg,Lux,HUL,Personal Care,Soap,1kg,kg/ml,165,108,18,1,222
261,Nandini Curd 500g,Nandini,KMF,Dairy,Curd,500g,kg/ml,306,187,18,1,524
262,Saffola Palm Oil 200g,Saffola,Marico,Edible Oil,Palm Oil,200g,kg/ml,272,196,18,0,262
263,Aashirvaad Pulses 1L,Aashirvaad,ITC,Staples,Pulses,1L,kg/ml,175,115,18,0,259
264,Vim Detergent Powder 500ml,Vim,HUL,Home Care,Detergent Powder,500ml,kg/ml,292,188,5,1,599
265,Haldirams Namkeen 200g,Haldirams,Haldirams,Snacks,Namkeen,200g,kg/ml,82,62,18,1,662
266,Dove Toothpaste 200ml,Dove,HUL,Personal Care,Toothpaste,200ml,kg/ml,248,167,5,1,362
267,Saffola Palm Oil 2kg,Saffola,Marico,Edible Oil,Palm Oil,2kg,kg/ml,265,200,5,1,650
268,Fortune Groundnut Oil 100g,Fortune,Adani Wilmar,Edible Oil,Groundnut Oil,100g,kg/ml,32,19,12,0,392
269,Coca-Cola Juice 1kg,Coca-Cola,Coca-Cola India,Beverages,Juice,1kg,kg/ml,207,150,5,1,362
270,Pepsi Juice 1kg,Pepsi,PepsiCo,Beverages,Juice,1kg,kg/ml,53,35,12,1,406
271,Aashirvaad Salt 5kg,Aashirvaad,ITC,Staples,Salt,5kg,kg/ml,61,46,5,0,284
272,Surf Excel Detergent Powder 1L,Surf Excel,HUL,Home Care,Detergent Powder,1L,kg/ml,148,112,5,0,189
273,Fortune Palm Oil 200ml,Fortune,Adani Wilmar,Edible Oil,Palm Oil,200ml,kg/ml,309,209,12,1,258
274,Tata Sugar 500ml,Tata,Tata Consumer,Staples,Sugar,500ml,kg/ml,192,120,5,0,280
275,Surf Excel Detergent Powder 200ml,Surf Excel,HUL,Home Care,Detergent Powder,200ml,kg/ml,62,45,18,1,662
276,Surf Excel Detergent Powder 1kg,Surf Excel,HUL,Home Care,Detergent Powder,1kg,kg/ml,296,200,18,1,407
277,Sunfeast Cream Biscuit 200ml,Sunfeast,ITC,Biscuits,Cream Biscuit,200ml,kg/ml,47,31,12,0,529
278,Mother Dairy Curd 100g,Mother Dairy,NDDB,Dairy,Curd,100g,kg/ml,242,183,5,0,642
279,Fortune Groundnut Oil 1kg,Fortune,Adani Wilmar,Edible Oil,Groundnut Oil,1kg,kg/ml,343,258,5,0,557
280,Pears Shampoo 200g,Pears,HUL,Personal Care,Shampoo,200g,kg/ml,285,216,18,1,553
281,Real Soft Drink 200g,Real,Dabur,Beverages,Soft Drink,200g,kg/ml,30,18,5,1,581
282,Lux Soap 500ml,Lux,HUL,Personal Care,Soap,500ml,kg/ml,334,237,12,0,593
283,Haldirams Chips 100g,Haldirams,Haldirams,Snacks,Chips,100g,kg/ml,141,107,18,0,676
284,Haldirams Chips 200g,Haldirams,Haldirams,Snacks,Chips,200g,kg/ml,168,126,5,1,481
285,Vim Dishwash Bar 200ml,Vim,HUL,Home Care,Dishwash Bar,200ml,kg/ml,255,155,12,1,414
286,Aashirvaad Sugar 200g,Aashirvaad,ITC,Staples,Sugar,200g,kg/ml,277,173,18,1,462
287,Saffola Groundnut Oil 500g,Saffola,Marico,Edible Oil,Groundnut Oil,500g,kg/ml,107,71,12,0,600
288,Real Soft Drink 5kg,Real,Dabur,Beverages,Soft Drink,5kg,kg/ml,38,23,12,0,287
289,Lux Soap 500ml,Lux,HUL,Personal Care,Soap,500ml,kg/ml,205,123,5,1,440
290,Sunfeast Glucose Biscuit 200g,Sunfeast,ITC,Biscuits,Glucose Biscuit,200g,kg/ml,29,21,12,0,245
291,Aashirvaad Salt 1kg,Aashirvaad,ITC,Staples,Salt,1kg,kg/ml,105,80,12,1,191
292,Fortune Rice 2kg,Fortune,Adani Wilmar,Staples,Rice,2kg,kg/ml,39,25,18,0,249
293,Surf Excel Floor Cleaner 1kg,Surf Excel,HUL,Home Care,Floor Cleaner,1kg,kg/ml,130,89,12,1,406
294,Dhara Sunflower Oil 2kg,Dhara,GCMMF,Edible Oil,Sunflower Oil,2kg,kg/ml,329,243,5,1,217
295,Amul Milk 1kg,Amul,GCMMF,Dairy,Milk,1kg,kg/ml,292,209,5,1,694
296,Rin Detergent Powder 200ml,Rin,HUL,Home Care,Detergent Powder,200ml,kg/ml,273,190,12,1,338
297,Bingo Extruded Snacks 500g,Bingo,ITC,Snacks,Extruded Snacks,500g,kg/ml,171,114,12,1,296
298,Lux Toothpaste 1kg,Lux,HUL,Personal Care,Toothpaste,1kg,kg/ml,202,150,5,1,292
299,Sunfeast Cream Biscuit 1L,Sunfeast,ITC,Biscuits,Cream Biscuit,1L,kg/ml,137,99,5,1,439
300,Haldirams Extruded Snacks 5kg,Haldirams,Haldirams,Snacks,Extruded Snacks,5kg,kg/ml,66,50,18,0,316
